,task,step,participant_id,created_at,acceptable,reasoning,take,fpv_filepath,fpv_circle_filepath,fpv_attention_filepath,tpv_filepath,instructions,question,correct_answer,gemini_answer,gemini_acceptable,ablation_setting,qa_id
264,Elastische Stoffe (Richtig),Vorbereitung (2),0,2024-06-17T22:03:00.324792+00:00,,"['KNOWLEDGE', 'SPATIAL']",1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,"- Den Nähfuß mit dem Nähfußhebel anheben.
    - Die bereits genähte Naht etwa 1 cm vor dem Nahtende unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",In welche Richtung muss das Handrad gedreht werden um die Nadel manuell in den Stoff einzustechen?,Das Handrad muss in Nutzerrichtung gedreht werden.,"Um die Nadel in den Stoff zu stechen wird das Handrad zu dir gedreht. 
",1,FPV,141
265,Elastische Stoffe (Richtig),Vorbereitung (2),0,2024-06-17T22:03:00.324792+00:00,,"['KNOWLEDGE', 'SPATIAL']",1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,"- Den Nähfuß mit dem Nähfußhebel anheben.
    - Die bereits genähte Naht etwa 1 cm vor dem Nahtende unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",In welche Richtung muss das Handrad gedreht werden um die Nadel manuell in den Stoff einzustechen?,Das Handrad muss in Nutzerrichtung gedreht werden.,"Um die Nadel manuell in den Stoff einzustechen muss das Handrad zu sich herangedreht werden. 
",1,FPV,141
266,Elastische Stoffe (Richtig),Vorbereitung (2),0,2024-06-17T22:04:38.234061+00:00,,"['KNOWLEDGE', 'SPATIAL']",1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,"- Den Nähfuß mit dem Nähfußhebel anheben.
    - Die bereits genähte Naht etwa 1 cm vor dem Nahtende unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",Mit welchem abstand muss die bereits genähte Naht vor dem Nahtende unter der Nadel positioniert werden?,Mit 1 cm abstand.,"Um die Naht zu verriegeln, wird das zu vernähende Stück ca. 1cm vor dem Nahtende unter der Nadel positioniert.",1,FPV,143
267,Elastische Stoffe (Richtig),Vorbereitung (2),0,2024-06-17T22:04:38.234061+00:00,,"['KNOWLEDGE', 'SPATIAL']",1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,"- Den Nähfuß mit dem Nähfußhebel anheben.
    - Die bereits genähte Naht etwa 1 cm vor dem Nahtende unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",Mit welchem abstand muss die bereits genähte Naht vor dem Nahtende unter der Nadel positioniert werden?,Mit 1 cm abstand.,"Um die Naht zu verriegeln, wird der Stoff um einige Stiche zurückgeschoben. 
",0,FPV,143
268,Elastische Stoffe (Richtig),Vorbereitung (2),0,2024-06-17T22:04:38.234061+00:00,,"['KNOWLEDGE', 'SPATIAL']",1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,"- Den Nähfuß mit dem Nähfußhebel anheben.
    - Die bereits genähte Naht etwa 1 cm vor dem Nahtende unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",Mit welchem abstand muss die bereits genähte Naht vor dem Nahtende unter der Nadel positioniert werden?,Mit 1 cm abstand.,"Um die Naht zu verriegeln, wird das zu vernähende Teil ca. 1 cm vor dem Nahtanfang unter der Nadel positioniert.",1,FPV,143
269,Geradeausstich,Abschluss,0,2024-06-17T22:07:43.629079+00:00,,['SPATIAL'],0,fpv_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,tpv_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.

",In welche Richtung ziehe ich den stoff weg?,Zur linken seite.,"Um die Naht fortzuführen, den Stoff von sich weg ziehen. 
",0,FPV,146
270,Geradeausstich,Abschluss,0,2024-06-17T22:07:43.629079+00:00,,['SPATIAL'],0,fpv_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,tpv_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.

",In welche Richtung ziehe ich den stoff weg?,Zur linken seite.,"Um den Stoff von der Nähmaschine wegzuführen, ziehst du ihn nach hinten.
",0,FPV,146
271,Geradeausstich,Abschluss,0,2024-06-17T22:07:43.629079+00:00,,['SPATIAL'],0,fpv_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,tpv_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.

",In welche Richtung ziehe ich den stoff weg?,Zur linken seite.,"Um den Stoff gerade zu führen, ziehst du ihn nach hinten weg. 
",0,FPV,146
272,Geradeausstich,Vorbereitung,0,2024-06-17T22:09:35.218073+00:00,,['SPATIAL'],0,fpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,tpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,"- Den Nähfuß mithilfe des Nähfußhebels anheben.
    - Bei angehobenem Nähfuß den rechten Rand des Probe-Stoffstücks für eine Nahtzugabe von 7,5 mm an der rechten Seite des Nähfußes ausrichten.
    - Den Nahtbeginn unter der Nadel platzieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",An welcher Seite des Nähfußes muss ich meinen Stoff ausrichten?,Der rechten Seite,"Der Stoff muss rechts vom Nähfuß ausgerichtet sein. 
",1,FPV,147
273,Geradeausstich,Vorbereitung,0,2024-06-17T22:09:35.218073+00:00,,['SPATIAL'],0,fpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,tpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,"- Den Nähfuß mithilfe des Nähfußhebels anheben.
    - Bei angehobenem Nähfuß den rechten Rand des Probe-Stoffstücks für eine Nahtzugabe von 7,5 mm an der rechten Seite des Nähfußes ausrichten.
    - Den Nahtbeginn unter der Nadel platzieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",An welcher Seite des Nähfußes muss ich meinen Stoff ausrichten?,Der rechten Seite,"Der Stoff muss rechts vom Nähfuß ausgerichtet werden. 
",1,FPV,147
274,Geradeausstich,Vorbereitung,0,2024-06-17T22:09:35.218073+00:00,,['SPATIAL'],0,fpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,tpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,"- Den Nähfuß mithilfe des Nähfußhebels anheben.
    - Bei angehobenem Nähfuß den rechten Rand des Probe-Stoffstücks für eine Nahtzugabe von 7,5 mm an der rechten Seite des Nähfußes ausrichten.
    - Den Nahtbeginn unter der Nadel platzieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",An welcher Seite des Nähfußes muss ich meinen Stoff ausrichten?,Der rechten Seite,"Der Stoff muss rechts vom Nähfuß ausgerichtet sein. 
",1,FPV,147
275,Geradeausstich,Vorbereitung,0,2024-06-17T22:18:05.543889+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,tpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,"- Den Nähfuß mithilfe des Nähfußhebels anheben.
    - Bei angehobenem Nähfuß den rechten Rand des Probe-Stoffstücks für eine Nahtzugabe von 7,5 mm an der rechten Seite des Nähfußes ausrichten.
    - Den Nahtbeginn unter der Nadel platzieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",Wo platziere ich den Nahtbeginn?,Direkt unter der Nadel.,"Der Nahtbeginn wird unter den Nähfuß und die Nadel gelegt. 
",1,FPV,149
276,Geradeausstich,Vorbereitung,0,2024-06-17T22:18:05.543889+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,tpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,"- Den Nähfuß mithilfe des Nähfußhebels anheben.
    - Bei angehobenem Nähfuß den rechten Rand des Probe-Stoffstücks für eine Nahtzugabe von 7,5 mm an der rechten Seite des Nähfußes ausrichten.
    - Den Nahtbeginn unter der Nadel platzieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",Wo platziere ich den Nahtbeginn?,Direkt unter der Nadel.,"Um den Nahtbeginn zu platzieren, wird das Nähgut unter den Nähfuß und bis zur Nadel geführt. 
",1,FPV,149
277,Geradeausstich,Vorbereitung,0,2024-06-17T22:18:05.543889+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,tpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,"- Den Nähfuß mithilfe des Nähfußhebels anheben.
    - Bei angehobenem Nähfuß den rechten Rand des Probe-Stoffstücks für eine Nahtzugabe von 7,5 mm an der rechten Seite des Nähfußes ausrichten.
    - Den Nahtbeginn unter der Nadel platzieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",Wo platziere ich den Nahtbeginn?,Direkt unter der Nadel.,"Der Nahtbeginn sollte sich unter dem Nähfuß befinden. 
",1,FPV,149
278,Elastische Stoffe (Richtig),Abschluss (1),0,2024-06-17T22:20:31.292620+00:00,,"['KNOWLEDGE', 'SPATIAL']",1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.


$\rightarrow$ Der Zickzack-Stich erlaubt Dehnung des elastischen Stoffes und verhindert Reißen der Naht.
",Wo befindet sich der integrierte Fadenschneider der Maschine?,Linksaußen am Kopf der Maschine.,"Um den Faden zu schneiden, wird der integrierte Fadenschneider an der linken Seite der Maschine verwendet. 
",1,FPV,152
279,Elastische Stoffe (Richtig),Abschluss (1),0,2024-06-17T22:20:31.292620+00:00,,"['KNOWLEDGE', 'SPATIAL']",1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.


$\rightarrow$ Der Zickzack-Stich erlaubt Dehnung des elastischen Stoffes und verhindert Reißen der Naht.
",Wo befindet sich der integrierte Fadenschneider der Maschine?,Linksaußen am Kopf der Maschine.,"Um den Faden zu schneiden, wird der Faden einfach hinter dem Nähfuß zwischen Nähfuß und Stichplatte durchgezogen. 
",0,FPV,152
280,Elastische Stoffe (Richtig),Abschluss (1),0,2024-06-17T22:20:31.292620+00:00,,"['KNOWLEDGE', 'SPATIAL']",1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.


$\rightarrow$ Der Zickzack-Stich erlaubt Dehnung des elastischen Stoffes und verhindert Reißen der Naht.
",Wo befindet sich der integrierte Fadenschneider der Maschine?,Linksaußen am Kopf der Maschine.,"Um den Faden zu schneiden, kann die hinter der Nadel angebrachte Vorrichtung verwendet werden. 
",0,FPV,152
281,Elastische Stoffe (Richtig),Vernähen,0,2024-06-17T22:22:34.552214+00:00,,['FACTUAL'],1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,"
    - Durch Betätigen des Fußpedals mit dem Nähen beginnen.
    - Ein Mal bis zum Ende vorwärts nähen, um die Naht zu sichern.

",Welche Farbe hat der Stoff in dem Video?,Der Stoff ist blau.,"Die Farbe des Stoffes ist blau. 
",1,FPV,155
282,Elastische Stoffe (Richtig),Vernähen,0,2024-06-17T22:22:34.552214+00:00,,['FACTUAL'],1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,"
    - Durch Betätigen des Fußpedals mit dem Nähen beginnen.
    - Ein Mal bis zum Ende vorwärts nähen, um die Naht zu sichern.

",Welche Farbe hat der Stoff in dem Video?,Der Stoff ist blau.,"Die Farbe des Stoffes ist blau. 
",1,FPV,155
283,Elastische Stoffe (Richtig),Vernähen,0,2024-06-17T22:22:34.552214+00:00,,['FACTUAL'],1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,"
    - Durch Betätigen des Fußpedals mit dem Nähen beginnen.
    - Ein Mal bis zum Ende vorwärts nähen, um die Naht zu sichern.

",Welche Farbe hat der Stoff in dem Video?,Der Stoff ist blau.,"Der Stoff in dem Video ist blau. 
",1,FPV,155
0,Elastische Stoffe (Falsch),Vernähen,0,2024-06-14T15:55:09.565554+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Elastische Stoffe (Falsch)-Vernaehen-take-0.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Vernaehen-take-0.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Vernaehen-take-0.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Vernaehen-take-0.mp4,"
    - Durch Betätigen des Fußpedals mit dem Nähen beginnen; nur ein kurzes Stück vorwärts nähen und dann anhalten.
    - Versuchen mithilfe des Rückwärtsnähknopfs oder -hebels den Nahtanfang durch Vor- und Zurücknähen sichern.


$\rightarrow$ Vernähen misslingt; Stoff wird von der Maschine eingezogen.
",Sollte ich beim Nahtanfang elastischer Stoffe durch Vor und Zurücknähen sichern?,"Nein, Vor und Zurücknähen elastischer Stoffe verursacht Einzug des Stoffes.","Um das Einziehen des Stoffes beim Vernähen von elastischen Stoffen zu vermeiden, sollte am Nahtanfang und -ende durch Vor- und Zurücknähen gesichert werden.
",0,FPV_C,10
1,Elastische Stoffe (Falsch),Nähen,0,2024-06-17T21:11:50.129571+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,"
    - Durch Betätigen des Fußpedals mit dem Nähen beginnen.
    - Auf Vernähen des Nahtbeginns verzichten.
    - Die Naht bis zum gewünschten Ende vorwärts nähen.

",Was soll mit dem Nahtbeginn geschehen?,Der Nahtbeginn soll nicht vernäht werden.,"Der Nahtbeginn soll verriegelt werden. 
",0,FPV_C,122
2,Geradeausstich,Nähen,0,2024-06-17T17:28:41.727039+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Geradeausstich-Naehen-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Naehen-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Naehen-take-0.mp4,tpv_out/participant-0-Geradeausstich-Naehen-take-0.mp4,"
    - Durch Drücken des Fußpedals mit dem Nähen beginnen; nur ein kurzes Stück vorwärts nähen und dann anhalten.
    - Den Rückwärtsnähen-Knopf oder Hebel betätigen.
    - Durch Drücken des Fußpedals bis zum Nahtbeginn nach hinten nähen, um den Nahtanfang durch Vernähen zu sichern.
    - Nach dem Vernähen den Rückwärtsnähen-Knopf oder Hebel erneut betätigen und die Naht bis zum gewünschten Ende vorwärts nähen.
    - Zum Abschluss der Naht, den Rückwärtsnähen-Knopf oder Hebel erneut nutzen, um das Nahtende zu sichern.

",Ist die Sicherung der Naht durch Rückwärtsnähen nur zu Beginn der Naht notwendig?,"Nein, auch am Ende der Naht muss der Vorgang wiederholt werden, damit der Abschluss der Naht gesichert wird.","Nein, die Sicherung der Naht durch Rückwärtsnähen ist sowohl zu Beginn, als auch am Ende einer Naht notwendig. 
",1,FPV_C,77
3,Geradeausstich,Abschluss,0,2024-06-17T22:07:17.505060+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,tpv_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.

",Womit kann ich die Fäden abschneiden?,Mit dem integrierten Fadenschneider der Maschine oder mit einer Schere.,"Um die Fäden abzuschneiden, wird der Nähfuß angehoben. 
",0,FPV_C,145
4,Einfädeln Oberspule,Einfädeln der Nadel,0,2024-06-17T17:49:50.032365+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Einfaedeln Oberspule-Einfaedeln der Nadel-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Oberspule-Einfaedeln der Nadel-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Oberspule-Einfaedeln der Nadel-take-0.mp4,tpv_out/participant-0-Einfaedeln Oberspule-Einfaedeln der Nadel-take-0.mp4,"
    - Den Nähfuß mit dem entsprechenden Hebel anheben, um Fadenspannung zu lösen.
    - Das Ende des Oberfadens mit einer Schere gerade abschneiden, um das Einfädeln zu erleichtern.
    - Den Oberfaden von vorne nach hinten durch das Nadelöhr führen.
    - Ein Stück des Oberfadens durch das Nadelöhr zur linken Seite ziehen.

",Wie kann man sich das Einfädeln in das Nadelöhr erleichtern?,"Den Faden mit einer Schere sauber abschneiden, damit das Fadenende nicht ausgefranst ist.","Um das Einfädeln zu erleichtern, kann der Nähfuß mit dem Handrad in die höchste Position gedreht werden.
",0,FPV_C,89
5,Elastische Stoffe (Richtig),Abschluss (1),0,2024-06-17T22:18:47.728082+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.


$\rightarrow$ Der Zickzack-Stich erlaubt Dehnung des elastischen Stoffes und verhindert Reißen der Naht.
",Welchen Stich sollte ich für Elastische Stoffe verwenden?,Einen Zickzack-Stich.,"Um dehnbare Stoffe zu nähen, sollten Sie einen Zickzackstich oder einen Overlockstich verwenden. 
",1,FPV_C,150
6,Elastische Stoffe (Falsch),Nähen,0,2024-06-17T21:08:15.957838+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,"
    - Durch Betätigen des Fußpedals mit dem Nähen beginnen.
    - Auf Vernähen des Nahtbeginns verzichten.
    - Die Naht bis zum gewünschten Ende vorwärts nähen.

",Wie beginnt man mit dem Nähen?,Das Fußpedal muss betätigt werden.,"Um mit dem Nähen zu beginnen, drückt man das Fußpedal. 
",1,FPV_C,120
7,Aufspulen,Fadenabschneiden,0,2024-06-14T17:18:07.106456+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Aufspulen-Fadenabschneiden-take-0.mp4,fpv_circle_out/participant-0-Aufspulen-Fadenabschneiden-take-0.mp4,fpv_attention_out/participant-0-Aufspulen-Fadenabschneiden-take-0.mp4,tpv_out/participant-0-Aufspulen-Fadenabschneiden-take-0.mp4,"
    - Die Unterspule abnehmen.
    - Den Faden mit dem integrierten Fadenschneider der Maschine abschneiden.

",Wie wird der Faden nach dem Aufspulen abgeschnitten?,Der Faden wird mit dem integrierten Fadenschneider der Maschine abgeschnitten,"Um den Faden abzuschneiden, wird dieser nach hinten über das Messer an der Nähmaschine gezogen. 
",0,FPV_C,59
8,Versäubern,Maschineneinstellungen,0,2024-06-17T21:04:06.677934+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Versaeubern-Maschineneinstellungen-take-0.mp4,fpv_circle_out/participant-0-Versaeubern-Maschineneinstellungen-take-0.mp4,fpv_attention_out/participant-0-Versaeubern-Maschineneinstellungen-take-0.mp4,tpv_out/participant-0-Versaeubern-Maschineneinstellungen-take-0.mp4,"- Die Stichart mithilfe des Stichauswahlrads auf Zickzack-Stich setzen.
    - Die Stichlänge am Stichlängeneinstellrad je nach Wunsch auf ca. 2,5 bis 2 mm einstellen.
    - Die Stichbreite am Stichbreiteneinstellrad für den Zickzack-Stich auf 6 mm setzen.

\newpage",Welche Länge soll der Stich haben?,"Die Stichlänge soll auf ca. 2,5 bis 2 mm eingestellt werden.","Die Stichlänge wird mit dem unteren Regler eingestellt. 
",0,FPV_C,119
